section_name,thickness,D_1,B_top_1,H_1,B_bottom,H_2,B_top_2,D_2,lip_1_angle,flange_1_angle,web_1_angle,bottom_flange_angle,web_2_angle,flange_2_angle,lip_2_angle,r1,r2,r3,r4,r5,r6
TH3.5 060,0.0600,0.5000,1.5000,3.5000,1.0000,3.5000,1.5000,0.5000,45.0000,0.0000,-90.0000,0.0000,90.0000,0.0000,-45.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
TH3.5 071,0.0710,0.5000,1.5000,3.5000,1.0000,3.5000,1.5000,0.5000,45.0000,0.0000,-90.0000,0.0000,90.0000,0.0000,-45.0000,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
